customer_id,customer_name,country,channel_type,size,annual_volume_usd
CUST_0054,Distributor_54,USA,Online Retail,Small,963052.07
CUST_0055,Distributor_55,Vietnam,Distributor,Medium,970530.54
CUST_0056,Distributor_56,South Korea,Distributor,Small,623387.12
CUST_0057,Distributor_57,Germany,Online Retail,Small,1072561.03
CUST_0058,Distributor_58,South Korea,Distributor,Small,1019173.3
CUST_0059,Distributor_59,UK,Distributor,Small,404759.85
CUST_0060,Distributor_60,India,Retail Store,Medium,1518830.13
CUST_0061,Distributor_61,Germany,Online Retail,Medium,1305799.11
CUST_0062,Distributor_62,Vietnam,Retail Store,Medium,1958916.3
CUST_0063,Distributor_63,USA,Online Retail,Medium,1334901.69
CUST_0064,Distributor_64,Japan,Distributor,Medium,545082.7
CUST_0065,Distributor_65,UAE,Online Retail,Medium,88435.55
CUST_0066,Distributor_66,South Korea,Online Retail,Medium,1160414.86
CUST_0067,Distributor_67,India,Distributor,Small,514456.42
CUST_0068,Distributor_68,Vietnam,Direct-to-Consumer,Small,1978021.12
CUST_0069,Distributor_69,Germany,Direct-to-Consumer,Small,1668928.74
CUST_0070,Distributor_70,UAE,Distributor,Medium,325109.61
CUST_0071,Distributor_71,Japan,Retail Store,Medium,1797854.85
CUST_0072,Distributor_72,UK,Distributor,Medium,1485014.0
CUST_0073,Distributor_73,Germany,Online Retail,Small,403799.1
CUST_0074,Distributor_74,USA,Distributor,Small,1422694.96
CUST_0075,Distributor_75,India,Distributor,Medium,716543.84
CUST_0076,Distributor_76,Japan,Direct-to-Consumer,Small,757965.46
CUST_0077,Distributor_77,UAE,Direct-to-Consumer,Small,1267090.37
CUST_0078,Distributor_78,UK,Direct-to-Consumer,Small,757377.89
CUST_0079,Distributor_79,UAE,Direct-to-Consumer,Medium,1899483.95
CUST_0080,Distributor_80,UAE,Direct-to-Consumer,Small,272763.96
CUST_0081,Distributor_81,Vietnam,Direct-to-Consumer,Medium,1794376.84
CUST_0082,Distributor_82,USA,Retail Store,Medium,995317.82
CUST_0083,Distributor_83,UK,Online Retail,Medium,1106186.72
CUST_0084,Distributor_84,UAE,Distributor,Medium,475145.06
CUST_0085,Distributor_85,India,Online Retail,Small,1969584.25
CUST_0086,Distributor_86,UK,Distributor,Medium,1397882.62
CUST_0087,Distributor_87,UK,Retail Store,Small,1832882.67
CUST_0088,Distributor_88,India,Online Retail,Small,1021276.97
CUST_0089,Distributor_89,India,Direct-to-Consumer,Medium,1320269.76
CUST_0090,Distributor_90,UAE,Online Retail,Medium,257828.52
CUST_0091,Distributor_91,UAE,Distributor,Medium,1805036.35
CUST_0092,Distributor_92,UK,Online Retail,Small,538924.79
CUST_0093,Distributor_93,UK,Online Retail,Medium,391973.99
CUST_0094,Distributor_94,UAE,Retail Store,Small,838543.93
CUST_0095,Distributor_95,Germany,Retail Store,Small,141583.64
CUST_0096,Distributor_96,UK,Direct-to-Consumer,Medium,409523.3
CUST_0097,Distributor_97,UK,Distributor,Medium,528430.76
CUST_0098,Distributor_98,Germany,Online Retail,Small,902527.12
CUST_0099,Distributor_99,South Korea,Retail Store,Medium,629387.35
CUST_0100,Distributor_100,Vietnam,Retail Store,Small,823466.28
CUST_0101,Distributor_101,USA,Retail Store,Small,1478515.59
CUST_0102,Distributor_102,South Korea,Distributor,Small,1102693.42
CUST_0103,Distributor_103,UAE,Distributor,Small,150280.34
CUST_0104,Distributor_104,USA,Retail Store,Medium,351610.67
CUST_0105,Distributor_105,USA,Direct-to-Consumer,Small,257866.59
CUST_0106,Distributor_106,UK,Distributor,Medium,854947.42
CUST_0107,Distributor_107,Japan,Distributor,Small,897913.31
CUST_0108,Distributor_108,Germany,Direct-to-Consumer,Medium,201642.42
CUST_0109,Distributor_109,India,Direct-to-Consumer,Medium,580683.02
CUST_0110,Distributor_110,South Korea,Distributor,Medium,663463.29
CUST_0111,Distributor_111,India,Online Retail,Medium,316796.33
CUST_0112,Distributor_112,Germany,Retail Store,Medium,1066536.3
CUST_0113,Distributor_113,Vietnam,Distributor,Small,1752244.38
CUST_0114,Distributor_114,UK,Retail Store,Medium,1530119.9
CUST_0115,Distributor_115,USA,Retail Store,Small,1705931.52
CUST_0116,Distributor_116,South Korea,Retail Store,Medium,1310996.59
CUST_0117,Distributor_117,Japan,Direct-to-Consumer,Medium,1890915.71
CUST_0118,Distributor_118,USA,Distributor,Small,1197114.33
CUST_0119,Distributor_119,India,Distributor,Small,1157493.2
CUST_0120,Distributor_120,Japan,Online Retail,Small,285019.03
CUST_0121,Distributor_121,India,Distributor,Medium,1852572.58
CUST_0122,Distributor_122,Japan,Retail Store,Medium,1600916.58
CUST_0123,Distributor_123,India,Distributor,Small,1696871.33
CUST_0124,Distributor_124,UAE,Distributor,Small,1306865.97
CUST_0125,Distributor_125,Germany,Online Retail,Small,498517.23
CUST_0126,Distributor_126,South Korea,Direct-to-Consumer,Small,1775746.8
CUST_0127,Distributor_127,Germany,Distributor,Small,1463295.2
CUST_0128,Distributor_128,Germany,Online Retail,Medium,1617755.11
CUST_0129,Distributor_129,India,Online Retail,Small,671567.38
CUST_0130,Distributor_130,Germany,Retail Store,Small,882293.26
CUST_0131,Distributor_131,India,Retail Store,Small,97581.52
CUST_0132,Distributor_132,UK,Online Retail,Small,50463.17
CUST_0133,Distributor_133,South Korea,Distributor,Small,1881182.01
CUST_0134,Distributor_134,UK,Retail Store,Medium,68496.6
CUST_0135,Distributor_135,UK,Direct-to-Consumer,Medium,833765.28
CUST_0136,Distributor_136,Germany,Distributor,Medium,1182476.55
CUST_0137,Distributor_137,USA,Distributor,Medium,1548133.16
CUST_0138,Distributor_138,USA,Retail Store,Medium,1068912.42
CUST_0139,Distributor_139,UAE,Direct-to-Consumer,Medium,265424.52
CUST_0140,Distributor_140,India,Retail Store,Small,1713002.55
CUST_0141,Distributor_141,USA,Online Retail,Medium,132081.72
CUST_0142,Distributor_142,Japan,Online Retail,Small,137946.32
CUST_0143,Distributor_143,Germany,Distributor,Medium,1375312.2
CUST_0144,Distributor_144,UK,Distributor,Small,1606079.18
CUST_0145,Distributor_145,Vietnam,Distributor,Small,864282.51
CUST_0146,Distributor_146,UAE,Online Retail,Small,1221556.97
CUST_0147,Distributor_147,Germany,Direct-to-Consumer,Small,375716.19
CUST_0148,Distributor_148,UK,Distributor,Medium,833081.46
CUST_0149,Distributor_149,UK,Retail Store,Small,1235086.75
CUST_0150,Distributor_150,USA,Retail Store,Small,141543.45
CUST_0151,Distributor_151,South Korea,Direct-to-Consumer,Medium,413554.61
CUST_0152,Distributor_152,UAE,Distributor,Small,1611500.89
CUST_0153,Distributor_153,South Korea,Direct-to-Consumer,Medium,1773382.48
CUST_0154,Distributor_154,South Korea,Retail Store,Small,1073811.43
CUST_0155,Distributor_155,UAE,Online Retail,Medium,1528565.03
CUST_0156,Distributor_156,South Korea,Retail Store,Small,1800000.49
CUST_0157,Distributor_157,Japan,Online Retail,Medium,486444.35
CUST_0158,Distributor_158,UK,Retail Store,Medium,1795096.81
CUST_0159,Distributor_159,South Korea,Distributor,Medium,1761048.68
CUST_0160,Distributor_160,South Korea,Online Retail,Small,979519.82
CUST_0161,Distributor_161,USA,Distributor,Small,1731148.85
CUST_0162,Distributor_162,South Korea,Distributor,Small,1866599.5
CUST_0163,Distributor_163,Japan,Retail Store,Small,846483.77
CUST_0164,Distributor_164,Vietnam,Retail Store,Small,1406642.87
CUST_0165,Distributor_165,Germany,Direct-to-Consumer,Small,208040.12
CUST_0166,Distributor_166,UK,Online Retail,Medium,1794235.87
CUST_0167,Distributor_167,Vietnam,Retail Store,Small,1015535.73
CUST_0168,Distributor_168,South Korea,Direct-to-Consumer,Medium,1817701.75
CUST_0169,Distributor_169,South Korea,Online Retail,Small,1372131.5
CUST_0170,Distributor_170,Vietnam,Distributor,Medium,1481124.34
CUST_0171,Distributor_171,USA,Distributor,Small,1333981.08
CUST_0172,Distributor_172,UK,Distributor,Medium,362780.21
CUST_0173,Distributor_173,India,Direct-to-Consumer,Medium,1410069.35
CUST_0174,Distributor_174,Germany,Distributor,Medium,1413031.94
CUST_0175,Distributor_175,India,Online Retail,Medium,1767697.98
CUST_0176,Distributor_176,India,Retail Store,Medium,1764189.39
CUST_0177,Distributor_177,UAE,Distributor,Small,703481.77
CUST_0178,Distributor_178,India,Retail Store,Medium,52184.22
CUST_0179,Distributor_179,Japan,Retail Store,Medium,1039562.08
CUST_0180,Distributor_180,South Korea,Online Retail,Small,213991.54
CUST_0181,Distributor_181,Japan,Retail Store,Medium,1282036.38
CUST_0182,Distributor_182,UK,Distributor,Small,67691.19
CUST_0183,Distributor_183,UAE,Distributor,Small,258612.25
CUST_0184,Distributor_184,India,Distributor,Small,892869.53
CUST_0185,Distributor_185,UAE,Online Retail,Small,1283612.69
CUST_0186,Distributor_186,Germany,Direct-to-Consumer,Medium,1588173.61
CUST_0187,Distributor_187,South Korea,Direct-to-Consumer,Small,182282.27
CUST_0188,Distributor_188,USA,Retail Store,Medium,1553419.37
CUST_0189,Distributor_189,India,Direct-to-Consumer,Small,724471.96
CUST_0190,Distributor_190,UAE,Direct-to-Consumer,Medium,1712208.59
CUST_0191,Distributor_191,Germany,Distributor,Medium,1939311.82
CUST_0192,Distributor_192,Germany,Distributor,Medium,1209071.93
CUST_0193,Distributor_193,UAE,Distributor,Medium,93140.93
CUST_0194,Distributor_194,South Korea,Retail Store,Medium,1646632.0
CUST_0195,Distributor_195,UAE,Retail Store,Medium,919510.28
CUST_0196,Distributor_196,South Korea,Online Retail,Medium,1891392.09
CUST_0197,Distributor_197,Japan,Online Retail,Medium,369066.45
CUST_0198,Distributor_198,Vietnam,Retail Store,Medium,631830.14
CUST_0199,Distributor_199,UAE,Distributor,Medium,1376973.64
CUST_0200,Distributor_200,UAE,Direct-to-Consumer,Medium,1742705.93
CUST_0201,Distributor_201,UK,Distributor,Small,893052.86
CUST_0202,Distributor_202,Germany,Retail Store,Small,1721852.18
CUST_0203,Distributor_203,South Korea,Distributor,Medium,584719.64
CUST_0204,Distributor_204,UAE,Distributor,Medium,675448.34
CUST_0205,Distributor_205,Vietnam,Online Retail,Small,465554.17
CUST_0206,Distributor_206,India,Distributor,Medium,1444101.88
CUST_0207,Distributor_207,Vietnam,Direct-to-Consumer,Small,972759.32
CUST_0208,Distributor_208,UK,Online Retail,Small,447217.44
CUST_0209,Distributor_209,UAE,Retail Store,Small,1553297.6
CUST_0210,Distributor_210,UK,Direct-to-Consumer,Small,84830.69
CUST_0211,Distributor_211,Germany,Retail Store,Small,113426.05
CUST_0212,Distributor_212,Japan,Online Retail,Medium,411644.81
CUST_0213,Distributor_213,USA,Retail Store,Small,278750.97
CUST_0214,Distributor_214,USA,Retail Store,Small,532702.91
CUST_0215,Distributor_215,Japan,Retail Store,Small,1008609.37
CUST_0216,Distributor_216,India,Direct-to-Consumer,Small,685554.65
CUST_0217,Distributor_217,UK,Online Retail,Small,655205.82
CUST_0218,Distributor_218,UAE,Direct-to-Consumer,Small,955967.26
CUST_0219,Distributor_219,Japan,Retail Store,Small,985880.73
CUST_0220,Distributor_220,USA,Online Retail,Small,1331118.52
CUST_0221,Distributor_221,Vietnam,Distributor,Small,1570709.43
CUST_0222,Distributor_222,USA,Online Retail,Small,1510865.2
CUST_0223,Distributor_223,Vietnam,Distributor,Small,1973992.06
CUST_0224,Distributor_224,Germany,Direct-to-Consumer,Small,990594.94
CUST_0225,Distributor_225,Vietnam,Retail Store,Medium,1141314.93
CUST_0226,Distributor_226,USA,Online Retail,Small,191211.73
CUST_0227,Distributor_227,USA,Online Retail,Medium,733722.52
CUST_0228,Distributor_228,Japan,Retail Store,Small,747712.63
CUST_0229,Distributor_229,UAE,Retail Store,Small,1156704.65
CUST_0230,Distributor_230,India,Distributor,Small,1651809.42
CUST_0231,Distributor_231,South Korea,Online Retail,Small,253907.29
CUST_0232,Distributor_232,USA,Retail Store,Medium,1797631.54
CUST_0233,Distributor_233,Vietnam,Online Retail,Medium,151344.0
CUST_0234,Distributor_234,Vietnam,Retail Store,Small,1873643.54
CUST_0235,Distributor_235,UAE,Distributor,Small,1613369.76
CUST_0236,Distributor_236,South Korea,Direct-to-Consumer,Medium,994576.97
CUST_0237,Distributor_237,India,Retail Store,Small,1117805.13
CUST_0238,Distributor_238,Japan,Online Retail,Small,987762.47
CUST_0239,Distributor_239,South Korea,Retail Store,Small,1476599.57
CUST_0240,Distributor_240,Germany,Online Retail,Small,1206893.36
CUST_0241,Distributor_241,India,Distributor,Medium,1749977.95
CUST_0242,Distributor_242,UK,Direct-to-Consumer,Medium,966856.06
CUST_0243,Distributor_243,Japan,Direct-to-Consumer,Medium,1589912.09
CUST_0244,Distributor_244,UAE,Retail Store,Medium,365261.46
CUST_0245,Distributor_245,Vietnam,Direct-to-Consumer,Medium,495486.75
CUST_0246,Distributor_246,Germany,Retail Store,Medium,1011889.85
CUST_0247,Distributor_247,UK,Retail Store,Medium,1376445.07
CUST_0248,Distributor_248,Japan,Direct-to-Consumer,Medium,446977.65
CUST_0249,Distributor_249,Japan,Retail Store,Medium,1743131.39
CUST_0250,Distributor_250,UK,Direct-to-Consumer,Medium,1700178.32
CUST_0251,Distributor_251,Germany,Direct-to-Consumer,Small,773525.59
CUST_0252,Distributor_252,South Korea,Direct-to-Consumer,Small,1109436.02
CUST_0253,Distributor_253,UK,Retail Store,Medium,905300.07
CUST_0254,Distributor_254,Japan,Retail Store,Small,1232067.99
CUST_0255,Distributor_255,India,Distributor,Small,872355.81
CUST_0256,Distributor_256,UK,Direct-to-Consumer,Medium,603516.33
CUST_0257,Distributor_257,Vietnam,Online Retail,Medium,1264784.84
CUST_0258,Distributor_258,India,Direct-to-Consumer,Medium,509794.58
CUST_0259,Distributor_259,Japan,Retail Store,Small,1822613.42
CUST_0260,Distributor_260,India,Distributor,Small,777054.84
CUST_0261,Distributor_261,UK,Online Retail,Medium,1716050.93
CUST_0262,Distributor_262,UK,Distributor,Small,239917.12
CUST_0263,Distributor_263,USA,Direct-to-Consumer,Small,1053893.84
CUST_0264,Distributor_264,USA,Distributor,Small,235759.94
CUST_0265,Distributor_265,India,Distributor,Medium,1940354.03
CUST_0266,Distributor_266,USA,Direct-to-Consumer,Medium,67609.29
CUST_0267,Distributor_267,UK,Distributor,Small,305203.64
CUST_0268,Distributor_268,India,Distributor,Medium,507614.37
CUST_0269,Distributor_269,India,Online Retail,Small,381027.91
CUST_0270,Distributor_270,USA,Online Retail,Small,1355311.28
CUST_0271,Distributor_271,South Korea,Direct-to-Consumer,Medium,534992.83
CUST_0272,Distributor_272,UAE,Direct-to-Consumer,Medium,542429.18
CUST_0273,Distributor_273,UK,Distributor,Small,121509.28
CUST_0274,Distributor_274,USA,Online Retail,Medium,1090348.25
CUST_0275,Distributor_275,Germany,Distributor,Small,1621056.8
CUST_0276,Distributor_276,South Korea,Online Retail,Medium,1138373.49
CUST_0277,Distributor_277,India,Online Retail,Small,576011.74
CUST_0278,Distributor_278,India,Online Retail,Medium,500705.28
CUST_0279,Distributor_279,UAE,Online Retail,Medium,288114.33
CUST_0280,Distributor_280,USA,Online Retail,Medium,222683.39
CUST_0281,Distributor_281,India,Direct-to-Consumer,Medium,131067.08
CUST_0282,Distributor_282,South Korea,Distributor,Medium,985799.31
CUST_0283,Distributor_283,India,Online Retail,Small,1906032.98
CUST_0284,Distributor_284,Vietnam,Distributor,Medium,1181218.85
CUST_0285,Distributor_285,Germany,Retail Store,Medium,1003250.83
CUST_0286,Distributor_286,UAE,Online Retail,Small,295195.95
CUST_0287,Distributor_287,India,Direct-to-Consumer,Small,1424127.49
CUST_0288,Distributor_288,UK,Online Retail,Medium,366644.69
CUST_0289,Distributor_289,Vietnam,Retail Store,Medium,1361574.13
CUST_0290,Distributor_290,Japan,Retail Store,Medium,1928526.32
CUST_0291,Distributor_291,India,Distributor,Medium,1684324.81
CUST_0292,Distributor_292,India,Online Retail,Small,84156.18
CUST_0293,Distributor_293,Vietnam,Online Retail,Small,1744364.72
CUST_0294,Distributor_294,USA,Retail Store,Small,270564.15
CUST_0295,Distributor_295,South Korea,Distributor,Small,1369201.1
CUST_0296,Distributor_296,Vietnam,Online Retail,Small,1662335.82
CUST_0297,Distributor_297,Germany,Retail Store,Medium,257856.41
CUST_0298,Distributor_298,Japan,Online Retail,Small,1229660.15
CUST_0299,Distributor_299,Vietnam,Online Retail,Medium,843470.52
CUST_0300,Distributor_300,Japan,Online Retail,Medium,226439.31
CUST_0301,Distributor_301,UK,Retail Store,Medium,1763105.34
CUST_0302,Distributor_302,South Korea,Retail Store,Small,1855065.92
CUST_0303,Distributor_303,USA,Distributor,Small,1536456.01
CUST_0304,Distributor_304,USA,Direct-to-Consumer,Medium,1744356.22
CUST_0305,Distributor_305,USA,Online Retail,Small,1111753.74
CUST_0306,Distributor_306,India,Distributor,Medium,1278907.06
CUST_0307,Distributor_307,Germany,Online Retail,Medium,1406161.05
CUST_0308,Distributor_308,Vietnam,Online Retail,Medium,1213146.68
CUST_0309,Distributor_309,India,Distributor,Medium,493175.77
CUST_0310,Distributor_310,UAE,Retail Store,Medium,378466.55
CUST_0311,Distributor_311,South Korea,Online Retail,Small,953813.39
CUST_0312,Distributor_312,India,Retail Store,Small,1905383.19
CUST_0313,Distributor_313,India,Online Retail,Small,100002.03
CUST_0314,Distributor_314,Vietnam,Online Retail,Small,340534.12
CUST_0315,Distributor_315,Japan,Distributor,Medium,1090524.97
CUST_0316,Distributor_316,UAE,Retail Store,Small,1121357.76
CUST_0317,Distributor_317,UK,Online Retail,Small,1913271.21
CUST_0318,Distributor_318,Vietnam,Distributor,Medium,890181.08
CUST_0319,Distributor_319,USA,Direct-to-Consumer,Medium,1801159.57
CUST_0320,Distributor_320,Germany,Online Retail,Medium,791145.29
CUST_0321,Distributor_321,India,Retail Store,Medium,735664.24
CUST_0322,Distributor_322,UK,Direct-to-Consumer,Medium,1253835.93
CUST_0323,Distributor_323,Japan,Direct-to-Consumer,Small,649215.43
CUST_0324,Distributor_324,India,Direct-to-Consumer,Medium,1182817.5
CUST_0325,Distributor_325,USA,Online Retail,Small,1446493.81
CUST_0326,Distributor_326,UAE,Distributor,Small,1655189.33
CUST_0327,Distributor_327,India,Distributor,Medium,1378179.82
CUST_0328,Distributor_328,Japan,Direct-to-Consumer,Medium,409941.0
CUST_0329,Distributor_329,India,Direct-to-Consumer,Medium,1156258.83
CUST_0330,Distributor_330,UAE,Distributor,Small,877828.48
CUST_0331,Distributor_331,Vietnam,Online Retail,Small,1122941.76
CUST_0332,Distributor_332,UK,Distributor,Small,268993.47
CUST_0333,Distributor_333,UAE,Direct-to-Consumer,Small,1647418.28
CUST_0334,Distributor_334,Japan,Retail Store,Medium,1597800.51
CUST_0335,Distributor_335,UK,Retail Store,Small,851505.52
CUST_0336,Distributor_336,USA,Retail Store,Small,1551392.17
CUST_0337,Distributor_337,India,Direct-to-Consumer,Medium,1572024.75
CUST_0338,Distributor_338,Japan,Retail Store,Medium,1709789.81
CUST_0339,Distributor_339,Germany,Retail Store,Medium,236293.86
CUST_0340,Distributor_340,UK,Distributor,Medium,876692.39
CUST_0341,Distributor_341,India,Online Retail,Medium,1486903.8
CUST_0342,Distributor_342,UAE,Direct-to-Consumer,Medium,1093948.3
CUST_0343,Distributor_343,Germany,Distributor,Medium,1301844.43
CUST_0344,Distributor_344,USA,Retail Store,Small,1294023.55
CUST_0345,Distributor_345,UAE,Online Retail,Medium,1209228.85
CUST_0346,Distributor_346,Japan,Online Retail,Small,585353.5
CUST_0347,Distributor_347,UAE,Online Retail,Small,838421.6
CUST_0348,Distributor_348,South Korea,Distributor,Medium,1462807.86
CUST_0349,Distributor_349,South Korea,Direct-to-Consumer,Small,300368.86
CUST_0350,Distributor_350,Vietnam,Distributor,Small,707592.91
CUST_0351,Distributor_351,Vietnam,Online Retail,Medium,204867.77
CUST_0352,Distributor_352,USA,Direct-to-Consumer,Medium,1211713.92
CUST_0353,Distributor_353,USA,Distributor,Medium,491979.98
CUST_0354,Distributor_354,Germany,Retail Store,Small,912699.38
CUST_0355,Distributor_355,South Korea,Direct-to-Consumer,Small,1610695.19
CUST_0356,Distributor_356,Vietnam,Retail Store,Medium,578737.5
CUST_0357,Distributor_357,UK,Retail Store,Medium,1089267.68
CUST_0358,Distributor_358,India,Distributor,Medium,421133.48
CUST_0359,Distributor_359,USA,Distributor,Small,1340586.42
CUST_0360,Distributor_360,Germany,Direct-to-Consumer,Small,920387.08
CUST_0361,Distributor_361,Germany,Online Retail,Small,1146478.79
CUST_0362,Distributor_362,Japan,Online Retail,Medium,1288172.09
CUST_0363,Distributor_363,UAE,Retail Store,Medium,1094863.98
CUST_0364,Distributor_364,Germany,Online Retail,Medium,1652522.57
CUST_0365,Distributor_365,Germany,Distributor,Small,1346577.86
CUST_0366,Distributor_366,Japan,Direct-to-Consumer,Small,795926.25
CUST_0367,Distributor_367,UK,Direct-to-Consumer,Medium,347211.23
CUST_0368,Distributor_368,USA,Online Retail,Small,1548769.62
CUST_0369,Distributor_369,UAE,Retail Store,Small,1065868.06
CUST_0370,Distributor_370,Vietnam,Online Retail,Small,1586408.88
CUST_0371,Distributor_371,UAE,Direct-to-Consumer,Medium,1660831.88
CUST_0372,Distributor_372,Germany,Online Retail,Small,173062.61
CUST_0373,Distributor_373,India,Online Retail,Medium,563069.51
CUST_0374,Distributor_374,USA,Online Retail,Medium,725327.45
CUST_0375,Distributor_375,Germany,Retail Store,Medium,645772.41
CUST_0376,Distributor_376,India,Distributor,Medium,1887654.69
CUST_0377,Distributor_377,South Korea,Distributor,Small,1842814.35
CUST_0378,Distributor_378,Germany,Retail Store,Small,1154821.96
CUST_0379,Distributor_379,India,Retail Store,Small,1864660.67
CUST_0380,Distributor_380,UAE,Direct-to-Consumer,Small,1274502.6
CUST_0381,Distributor_381,UAE,Distributor,Small,1742710.55
CUST_0382,Distributor_382,UAE,Online Retail,Small,463365.86
CUST_0383,Distributor_383,India,Distributor,Medium,835811.35
CUST_0384,Distributor_384,UAE,Direct-to-Consumer,Small,486048.15
CUST_0385,Distributor_385,USA,Retail Store,Small,1299895.55
CUST_0386,Distributor_386,USA,Direct-to-Consumer,Medium,984741.16
CUST_0387,Distributor_387,UAE,Direct-to-Consumer,Medium,999770.74
CUST_0388,Distributor_388,Germany,Distributor,Small,1667198.19
CUST_0389,Distributor_389,USA,Online Retail,Medium,827392.9
CUST_0390,Distributor_390,UK,Retail Store,Medium,287435.73
CUST_0391,Distributor_391,Germany,Online Retail,Small,313574.26
CUST_0392,Distributor_392,Vietnam,Direct-to-Consumer,Small,1564611.08
CUST_0393,Distributor_393,UAE,Direct-to-Consumer,Small,658041.46
CUST_0394,Distributor_394,Japan,Retail Store,Small,591617.62
CUST_0395,Distributor_395,UAE,Retail Store,Small,471274.46
CUST_0396,Distributor_396,Japan,Distributor,Small,761356.53
CUST_0397,Distributor_397,India,Online Retail,Medium,1572485.09
CUST_0398,Distributor_398,India,Online Retail,Small,994973.09
CUST_0399,Distributor_399,USA,Distributor,Medium,1405318.7
CUST_0400,Distributor_400,UK,Online Retail,Medium,382796.28
CUST_0401,Distributor_401,South Korea,Distributor,Small,641386.54
CUST_0402,Distributor_402,USA,Direct-to-Consumer,Small,1398655.21
CUST_0403,Distributor_403,USA,Online Retail,Small,1993558.87
CUST_0404,Distributor_404,UK,Direct-to-Consumer,Medium,480565.13
CUST_0405,Distributor_405,Japan,Retail Store,Small,1077730.85
CUST_0406,Distributor_406,Japan,Retail Store,Medium,1594582.59
CUST_0407,Distributor_407,Japan,Distributor,Small,429513.9
CUST_0408,Distributor_408,Japan,Online Retail,Small,989187.95
CUST_0409,Distributor_409,UAE,Distributor,Medium,1550144.54
CUST_0410,Distributor_410,UK,Retail Store,Small,310917.29
CUST_0411,Distributor_411,India,Distributor,Small,556635.76
CUST_0412,Distributor_412,UK,Online Retail,Small,419904.95
CUST_0413,Distributor_413,India,Online Retail,Medium,73635.51
CUST_0414,Distributor_414,UK,Online Retail,Medium,437769.74
CUST_0415,Distributor_415,South Korea,Online Retail,Small,1001315.39
