inventory_id,product_id,facility_id,stock_level,safety_stock_level,reorder_point
INV_000120,PROD_144,FAC_21,45,10,20
INV_000121,PROD_084,FAC_06,57,23,33
INV_000122,PROD_128,FAC_08,43,21,31
INV_000123,PROD_145,FAC_15,40,24,36
INV_000124,PROD_077,FAC_13,35,14,22
INV_000125,PROD_088,FAC_13,31,10,22
INV_000126,PROD_086,FAC_16,49,23,29
INV_000127,PROD_018,FAC_20,32,22,29
INV_000128,PROD_113,FAC_08,50,22,35
INV_000129,PROD_087,FAC_16,48,15,24
INV_000130,PROD_046,FAC_21,34,18,27
INV_000131,PROD_003,FAC_08,38,21,26
INV_000132,PROD_044,FAC_08,58,12,26
INV_000133,PROD_100,FAC_11,47,14,25
INV_000134,PROD_149,FAC_09,43,24,31
INV_000135,PROD_058,FAC_24,30,12,20
INV_000136,PROD_065,FAC_05,32,11,16
INV_000137,PROD_023,FAC_15,41,11,20
INV_000138,PROD_111,FAC_04,38,14,26
INV_000139,PROD_130,FAC_16,42,17,22
INV_000140,PROD_137,FAC_09,33,21,32
INV_000141,PROD_065,FAC_20,35,18,32
INV_000142,PROD_052,FAC_25,49,16,22
INV_000143,PROD_110,FAC_23,32,19,32
INV_000144,PROD_017,FAC_15,38,15,23
INV_000145,PROD_122,FAC_14,57,13,27
INV_000146,PROD_055,FAC_24,37,14,22
INV_000147,PROD_130,FAC_20,42,15,21
INV_000148,PROD_129,FAC_04,31,15,26
INV_000149,PROD_015,FAC_20,34,20,25
INV_000150,PROD_127,FAC_23,50,23,36
INV_000151,PROD_032,FAC_05,38,24,37
INV_000152,PROD_130,FAC_06,34,12,26
INV_000153,PROD_067,FAC_25,56,12,24
INV_000154,PROD_144,FAC_11,40,20,30
INV_000155,PROD_083,FAC_24,46,16,26
INV_000156,PROD_076,FAC_18,34,14,26
INV_000157,PROD_122,FAC_02,30,16,24
INV_000158,PROD_034,FAC_10,57,13,22
INV_000159,PROD_023,FAC_10,52,22,31
INV_000160,PROD_072,FAC_15,38,13,20
INV_000161,PROD_018,FAC_01,44,15,23
INV_000162,PROD_009,FAC_08,39,12,26
INV_000163,PROD_042,FAC_04,36,14,28
INV_000164,PROD_145,FAC_11,57,24,30
INV_000165,PROD_052,FAC_10,39,10,16
INV_000166,PROD_003,FAC_20,39,15,24
INV_000167,PROD_110,FAC_05,43,21,35
INV_000168,PROD_094,FAC_16,54,14,27
INV_000169,PROD_135,FAC_01,58,10,15
INV_000170,PROD_127,FAC_11,37,15,22
INV_000171,PROD_075,FAC_22,55,23,30
INV_000172,PROD_090,FAC_13,57,16,22
INV_000173,PROD_079,FAC_21,34,21,26
INV_000174,PROD_115,FAC_19,59,22,34
INV_000175,PROD_100,FAC_19,45,11,17
INV_000176,PROD_109,FAC_05,39,22,35
INV_000177,PROD_093,FAC_13,41,12,21
INV_000178,PROD_046,FAC_13,42,24,29
INV_000179,PROD_032,FAC_03,36,22,34
INV_000180,PROD_008,FAC_10,55,20,30
INV_000181,PROD_137,FAC_03,30,19,28
INV_000182,PROD_048,FAC_22,37,16,23
INV_000183,PROD_008,FAC_15,37,17,24
INV_000184,PROD_028,FAC_13,40,13,24
INV_000185,PROD_055,FAC_20,57,12,25
INV_000186,PROD_014,FAC_13,32,22,30
INV_000187,PROD_044,FAC_19,34,18,26
INV_000188,PROD_047,FAC_03,35,10,17
INV_000189,PROD_109,FAC_20,43,11,24
INV_000190,PROD_019,FAC_08,46,12,19
INV_000191,PROD_068,FAC_01,49,15,24
INV_000192,PROD_017,FAC_06,45,23,32
INV_000193,PROD_015,FAC_02,40,12,22
INV_000194,PROD_010,FAC_11,38,21,32
INV_000195,PROD_027,FAC_17,51,19,32
INV_000196,PROD_125,FAC_05,39,24,38
INV_000197,PROD_019,FAC_18,33,13,19
INV_000198,PROD_126,FAC_09,50,10,24
INV_000199,PROD_115,FAC_07,59,22,31
INV_000200,PROD_059,FAC_02,42,17,22
INV_000201,PROD_123,FAC_24,49,24,35
INV_000202,PROD_108,FAC_05,49,21,34
INV_000203,PROD_004,FAC_05,41,15,23
INV_000204,PROD_037,FAC_15,51,14,24
INV_000205,PROD_105,FAC_11,55,23,35
INV_000206,PROD_105,FAC_22,54,22,36
INV_000207,PROD_013,FAC_06,35,13,25
INV_000208,PROD_001,FAC_01,53,14,23
INV_000209,PROD_138,FAC_09,39,15,28
INV_000210,PROD_052,FAC_20,41,11,23
INV_000211,PROD_006,FAC_23,34,22,36
INV_000212,PROD_071,FAC_08,36,17,28
INV_000213,PROD_018,FAC_12,47,11,20
INV_000214,PROD_149,FAC_11,38,23,35
INV_000215,PROD_082,FAC_17,54,17,31
INV_000216,PROD_086,FAC_01,42,19,33
INV_000217,PROD_074,FAC_16,47,14,27
INV_000218,PROD_124,FAC_07,58,12,22
INV_000219,PROD_073,FAC_23,41,19,24
INV_000220,PROD_040,FAC_15,52,16,25
INV_000221,PROD_027,FAC_12,31,11,19
INV_000222,PROD_003,FAC_08,33,24,35
INV_000223,PROD_146,FAC_03,31,14,21
INV_000224,PROD_066,FAC_22,54,16,21
INV_000225,PROD_104,FAC_22,51,11,24
INV_000226,PROD_123,FAC_21,40,16,24
INV_000227,PROD_035,FAC_16,42,20,26
INV_000228,PROD_077,FAC_11,36,20,28
INV_000229,PROD_077,FAC_03,30,23,29
INV_000230,PROD_117,FAC_11,38,22,28
INV_000231,PROD_017,FAC_21,59,16,21
INV_000232,PROD_096,FAC_19,35,10,22
INV_000233,PROD_134,FAC_14,33,18,30
INV_000234,PROD_135,FAC_21,34,14,22
INV_000235,PROD_148,FAC_11,37,23,32
INV_000236,PROD_011,FAC_17,38,23,28
INV_000237,PROD_014,FAC_06,35,20,31
INV_000238,PROD_120,FAC_20,38,18,31
INV_000239,PROD_138,FAC_21,34,15,24
INV_000240,PROD_010,FAC_11,35,24,30
INV_000241,PROD_075,FAC_17,57,11,25
INV_000242,PROD_009,FAC_20,34,19,24
INV_000243,PROD_149,FAC_08,36,17,22
INV_000244,PROD_026,FAC_17,48,13,24
INV_000245,PROD_088,FAC_17,59,16,29
INV_000246,PROD_055,FAC_13,35,21,26
INV_000247,PROD_109,FAC_01,50,22,29
INV_000248,PROD_093,FAC_06,56,17,27
INV_000249,PROD_073,FAC_23,45,12,25
INV_000250,PROD_037,FAC_02,58,24,29
INV_000251,PROD_014,FAC_01,34,23,36
INV_000252,PROD_143,FAC_15,50,21,29
INV_000253,PROD_006,FAC_25,34,11,16
INV_000254,PROD_142,FAC_01,33,11,17
INV_000255,PROD_033,FAC_24,57,17,23
INV_000256,PROD_022,FAC_12,47,12,21
INV_000257,PROD_069,FAC_22,44,23,35
INV_000258,PROD_139,FAC_09,50,24,35
INV_000259,PROD_056,FAC_04,55,12,23
INV_000260,PROD_116,FAC_08,42,22,35
INV_000261,PROD_083,FAC_11,47,23,30
INV_000262,PROD_082,FAC_19,44,17,22
INV_000263,PROD_143,FAC_07,55,21,26
INV_000264,PROD_080,FAC_06,47,24,29
INV_000265,PROD_085,FAC_02,33,21,35
INV_000266,PROD_068,FAC_17,38,15,23
INV_000267,PROD_150,FAC_06,58,19,28
INV_000268,PROD_087,FAC_03,57,15,26
INV_000269,PROD_008,FAC_13,31,24,33
INV_000270,PROD_033,FAC_04,57,22,35
INV_000271,PROD_106,FAC_06,33,12,23
INV_000272,PROD_087,FAC_11,51,16,22
INV_000273,PROD_059,FAC_13,54,13,19
INV_000274,PROD_113,FAC_09,51,20,28
INV_000275,PROD_034,FAC_01,35,19,28
INV_000276,PROD_103,FAC_06,48,12,25
INV_000277,PROD_077,FAC_15,42,10,15
INV_000278,PROD_116,FAC_16,48,16,24
INV_000279,PROD_078,FAC_22,39,18,31
INV_000280,PROD_072,FAC_13,56,10,16
INV_000281,PROD_001,FAC_24,37,10,19
INV_000282,PROD_127,FAC_23,43,14,22
INV_000283,PROD_143,FAC_14,33,10,17
INV_000284,PROD_096,FAC_25,36,11,16
INV_000285,PROD_091,FAC_18,34,16,29
INV_000286,PROD_007,FAC_14,41,20,28
INV_000287,PROD_013,FAC_10,35,12,20
INV_000288,PROD_146,FAC_24,46,19,33
INV_000289,PROD_113,FAC_10,47,23,29
INV_000290,PROD_125,FAC_11,44,14,19
INV_000291,PROD_119,FAC_07,50,20,26
INV_000292,PROD_148,FAC_06,45,22,36
INV_000293,PROD_039,FAC_22,55,22,32
INV_000294,PROD_057,FAC_19,54,22,31
INV_000295,PROD_025,FAC_19,36,10,18
INV_000296,PROD_105,FAC_05,54,23,34
INV_000297,PROD_073,FAC_25,49,24,36
INV_000298,PROD_044,FAC_05,59,18,30
INV_000299,PROD_060,FAC_08,48,11,24
INV_000300,PROD_053,FAC_11,53,19,31
INV_000301,PROD_131,FAC_08,59,13,23
INV_000302,PROD_025,FAC_03,30,20,34
INV_000303,PROD_110,FAC_18,34,11,24
INV_000304,PROD_105,FAC_10,49,10,21
INV_000305,PROD_128,FAC_18,31,21,31
INV_000306,PROD_106,FAC_23,44,23,35
INV_000307,PROD_058,FAC_16,43,19,28
INV_000308,PROD_067,FAC_23,40,19,26
INV_000309,PROD_063,FAC_02,32,16,28
INV_000310,PROD_135,FAC_13,52,18,32
INV_000311,PROD_048,FAC_20,59,18,32
INV_000312,PROD_046,FAC_02,59,22,31
INV_000313,PROD_149,FAC_25,33,19,27
INV_000314,PROD_101,FAC_18,56,23,30
INV_000315,PROD_033,FAC_15,35,22,28
INV_000316,PROD_041,FAC_10,33,20,25
INV_000317,PROD_098,FAC_02,51,18,23
INV_000318,PROD_082,FAC_11,44,17,28
INV_000319,PROD_088,FAC_08,32,16,24
INV_000320,PROD_068,FAC_14,54,21,33
INV_000321,PROD_135,FAC_20,57,13,19
INV_000322,PROD_075,FAC_24,37,14,20
INV_000323,PROD_095,FAC_02,36,19,24
INV_000324,PROD_054,FAC_01,32,21,29
INV_000325,PROD_039,FAC_01,50,18,27
INV_000326,PROD_046,FAC_13,59,23,33
INV_000327,PROD_069,FAC_12,58,11,23
INV_000328,PROD_053,FAC_19,55,16,27
INV_000329,PROD_073,FAC_01,38,18,28
INV_000330,PROD_130,FAC_21,47,17,27
INV_000331,PROD_095,FAC_08,45,20,29
INV_000332,PROD_019,FAC_24,59,18,24
INV_000333,PROD_116,FAC_05,43,18,24
INV_000334,PROD_056,FAC_21,44,19,28
INV_000335,PROD_121,FAC_19,53,10,16
INV_000336,PROD_124,FAC_13,43,15,29
INV_000337,PROD_021,FAC_09,44,22,32
INV_000338,PROD_061,FAC_15,35,16,23
INV_000339,PROD_120,FAC_05,38,18,28
INV_000340,PROD_078,FAC_05,58,14,21
INV_000341,PROD_034,FAC_24,39,16,24
INV_000342,PROD_023,FAC_13,35,12,21
INV_000343,PROD_080,FAC_07,34,17,30
INV_000344,PROD_090,FAC_01,50,17,25
INV_000345,PROD_070,FAC_25,48,11,24
INV_000346,PROD_104,FAC_25,30,19,24
INV_000347,PROD_098,FAC_10,54,22,33
INV_000348,PROD_089,FAC_23,54,13,26
INV_000349,PROD_035,FAC_10,46,12,17
INV_000350,PROD_018,FAC_09,45,10,18
INV_000351,PROD_089,FAC_24,42,10,15
INV_000352,PROD_010,FAC_13,32,15,29
INV_000353,PROD_069,FAC_21,36,21,27
INV_000354,PROD_026,FAC_13,43,10,22
INV_000355,PROD_055,FAC_25,30,17,27
INV_000356,PROD_108,FAC_25,38,17,27
INV_000357,PROD_037,FAC_21,50,20,34
INV_000358,PROD_059,FAC_24,57,21,27
INV_000359,PROD_088,FAC_08,39,22,27
INV_000360,PROD_016,FAC_20,59,18,23
INV_000361,PROD_097,FAC_18,51,17,23
INV_000362,PROD_011,FAC_05,33,21,28
INV_000363,PROD_131,FAC_18,37,23,32
INV_000364,PROD_117,FAC_25,49,22,30
INV_000365,PROD_039,FAC_08,31,17,30
INV_000366,PROD_092,FAC_02,58,13,23
INV_000367,PROD_088,FAC_06,40,15,23
INV_000368,PROD_116,FAC_16,55,21,28
INV_000369,PROD_073,FAC_03,32,20,34
INV_000370,PROD_093,FAC_11,48,13,22
INV_000371,PROD_123,FAC_21,56,12,18
INV_000372,PROD_059,FAC_23,58,11,16
INV_000373,PROD_011,FAC_18,41,11,18
INV_000374,PROD_078,FAC_01,50,21,30
INV_000375,PROD_093,FAC_04,51,16,26
INV_000376,PROD_061,FAC_04,39,19,30
INV_000377,PROD_134,FAC_13,33,14,25
INV_000378,PROD_020,FAC_21,33,18,32
INV_000379,PROD_070,FAC_01,53,23,37
INV_000380,PROD_018,FAC_11,32,24,31
INV_000381,PROD_142,FAC_12,54,13,19
INV_000382,PROD_049,FAC_01,54,23,31
INV_000383,PROD_106,FAC_24,37,23,28
INV_000384,PROD_032,FAC_24,34,21,32
INV_000385,PROD_079,FAC_15,59,15,29
INV_000386,PROD_129,FAC_14,53,24,31
INV_000387,PROD_030,FAC_22,32,23,36
INV_000388,PROD_022,FAC_03,37,20,32
INV_000389,PROD_081,FAC_24,54,12,20
INV_000390,PROD_028,FAC_10,59,12,25
INV_000391,PROD_137,FAC_16,49,10,21
INV_000392,PROD_064,FAC_13,37,24,31
INV_000393,PROD_021,FAC_12,42,12,20
INV_000394,PROD_031,FAC_16,33,14,27
INV_000395,PROD_125,FAC_06,59,11,22
INV_000396,PROD_071,FAC_06,41,21,33
INV_000397,PROD_103,FAC_14,42,24,35
INV_000398,PROD_115,FAC_01,48,15,29
INV_000399,PROD_040,FAC_13,32,20,27
INV_000400,PROD_110,FAC_10,43,23,34
INV_000401,PROD_018,FAC_02,42,22,35
INV_000402,PROD_128,FAC_13,31,10,17
INV_000403,PROD_077,FAC_02,55,10,17
INV_000404,PROD_020,FAC_01,47,13,19
INV_000405,PROD_059,FAC_14,46,14,21
INV_000406,PROD_144,FAC_15,43,18,23
INV_000407,PROD_104,FAC_07,53,16,30
INV_000408,PROD_047,FAC_16,42,24,32
INV_000409,PROD_026,FAC_11,33,19,24
INV_000410,PROD_104,FAC_09,32,19,29
INV_000411,PROD_086,FAC_23,56,11,24
INV_000412,PROD_027,FAC_12,54,10,16
INV_000413,PROD_059,FAC_12,57,12,22
INV_000414,PROD_143,FAC_17,43,19,28
INV_000415,PROD_036,FAC_19,41,13,20
INV_000416,PROD_096,FAC_20,32,21,34
INV_000417,PROD_100,FAC_19,44,20,33
INV_000418,PROD_035,FAC_22,38,21,28
INV_000419,PROD_046,FAC_04,42,11,21
INV_000420,PROD_052,FAC_15,32,24,38
INV_000421,PROD_015,FAC_19,47,17,29
INV_000422,PROD_067,FAC_09,40,16,21
INV_000423,PROD_018,FAC_09,33,10,18
INV_000424,PROD_105,FAC_19,52,16,30
INV_000425,PROD_134,FAC_03,51,16,28
INV_000426,PROD_021,FAC_10,32,17,25
INV_000427,PROD_040,FAC_11,41,21,30
INV_000428,PROD_029,FAC_19,30,16,26
INV_000429,PROD_128,FAC_19,48,15,26
INV_000430,PROD_110,FAC_11,37,12,18
INV_000431,PROD_021,FAC_02,39,13,24
INV_000432,PROD_078,FAC_18,40,19,30
INV_000433,PROD_078,FAC_25,36,21,28
INV_000434,PROD_011,FAC_14,49,20,34
INV_000435,PROD_045,FAC_22,40,22,27
INV_000436,PROD_146,FAC_02,39,21,29
INV_000437,PROD_127,FAC_08,31,24,37
INV_000438,PROD_088,FAC_03,59,16,24
INV_000439,PROD_148,FAC_07,46,19,24
INV_000440,PROD_126,FAC_06,41,11,16
INV_000441,PROD_013,FAC_06,39,21,35
INV_000442,PROD_075,FAC_14,57,11,19
INV_000443,PROD_119,FAC_23,40,24,34
INV_000444,PROD_014,FAC_18,34,15,22
INV_000445,PROD_090,FAC_12,53,16,22
INV_000446,PROD_017,FAC_25,38,22,32
INV_000447,PROD_040,FAC_15,47,18,24
INV_000448,PROD_091,FAC_04,37,20,31
INV_000449,PROD_062,FAC_23,56,10,23
INV_000450,PROD_021,FAC_08,37,15,26
INV_000451,PROD_147,FAC_06,57,19,33
INV_000452,PROD_055,FAC_12,59,21,31
INV_000453,PROD_109,FAC_25,33,21,30
INV_000454,PROD_085,FAC_06,42,13,26
INV_000455,PROD_140,FAC_10,53,15,26
INV_000456,PROD_112,FAC_01,32,13,27
INV_000457,PROD_060,FAC_05,38,12,26
INV_000458,PROD_142,FAC_03,40,23,30
INV_000459,PROD_082,FAC_08,56,16,28
INV_000460,PROD_113,FAC_10,41,19,32
INV_000461,PROD_059,FAC_07,55,17,31
INV_000462,PROD_034,FAC_08,47,23,36
INV_000463,PROD_064,FAC_11,30,23,33
INV_000464,PROD_057,FAC_13,42,13,24
INV_000465,PROD_085,FAC_22,54,19,25
INV_000466,PROD_106,FAC_09,35,13,26
INV_000467,PROD_049,FAC_22,36,17,29
INV_000468,PROD_027,FAC_17,49,18,25
INV_000469,PROD_094,FAC_17,37,21,35
INV_000470,PROD_068,FAC_13,42,22,32
INV_000471,PROD_098,FAC_05,56,11,19
INV_000472,PROD_036,FAC_16,33,16,25
INV_000473,PROD_005,FAC_21,44,22,33
INV_000474,PROD_087,FAC_02,30,21,26
INV_000475,PROD_088,FAC_15,44,12,21
INV_000476,PROD_126,FAC_24,49,19,24
INV_000477,PROD_002,FAC_20,38,14,27
INV_000478,PROD_033,FAC_25,47,13,19
INV_000479,PROD_038,FAC_04,54,16,24
INV_000480,PROD_118,FAC_23,32,10,21
INV_000481,PROD_139,FAC_06,40,14,28
INV_000482,PROD_138,FAC_10,48,20,32
INV_000483,PROD_038,FAC_18,34,17,31
INV_000484,PROD_107,FAC_18,35,24,33
INV_000485,PROD_032,FAC_07,56,15,23
INV_000486,PROD_040,FAC_08,44,17,27
INV_000487,PROD_063,FAC_16,47,11,18
INV_000488,PROD_052,FAC_24,34,20,27
INV_000489,PROD_077,FAC_25,40,15,28
INV_000490,PROD_032,FAC_02,44,13,19
INV_000491,PROD_052,FAC_22,55,10,23
INV_000492,PROD_120,FAC_05,48,11,24
INV_000493,PROD_025,FAC_04,30,16,21
INV_000494,PROD_002,FAC_18,44,19,28
INV_000495,PROD_129,FAC_14,35,12,17
INV_000496,PROD_007,FAC_04,34,23,34
INV_000497,PROD_059,FAC_24,57,17,25
INV_000498,PROD_109,FAC_13,33,17,23
INV_000499,PROD_037,FAC_08,54,13,24
INV_000500,PROD_067,FAC_01,31,17,25
INV_000501,PROD_045,FAC_02,41,16,23
INV_000502,PROD_061,FAC_10,46,23,32
INV_000503,PROD_096,FAC_22,57,15,27
INV_000504,PROD_096,FAC_16,54,21,33
INV_000505,PROD_016,FAC_02,35,11,16
INV_000506,PROD_018,FAC_17,47,16,26
INV_000507,PROD_008,FAC_16,52,24,37
INV_000508,PROD_008,FAC_09,44,18,29
INV_000509,PROD_008,FAC_16,48,14,27
INV_000510,PROD_046,FAC_24,50,19,30
INV_000511,PROD_041,FAC_10,31,18,28
INV_000512,PROD_021,FAC_09,32,15,23
INV_000513,PROD_095,FAC_17,32,12,18
INV_000514,PROD_104,FAC_14,53,15,20
INV_000515,PROD_134,FAC_07,58,18,27
INV_000516,PROD_116,FAC_07,54,16,30
INV_000517,PROD_040,FAC_24,58,14,26
INV_000518,PROD_059,FAC_17,30,18,23
INV_000519,PROD_096,FAC_07,50,23,30
INV_000520,PROD_100,FAC_13,32,18,32
INV_000521,PROD_038,FAC_23,40,19,31
INV_000522,PROD_143,FAC_03,32,15,28
INV_000523,PROD_058,FAC_09,40,16,24
INV_000524,PROD_003,FAC_23,48,14,28
INV_000525,PROD_080,FAC_24,50,24,38
INV_000526,PROD_021,FAC_14,39,11,17
INV_000527,PROD_097,FAC_10,34,11,21
INV_000528,PROD_017,FAC_17,51,24,33
INV_000529,PROD_128,FAC_24,54,23,36
INV_000530,PROD_020,FAC_15,35,15,20
INV_000531,PROD_136,FAC_10,59,17,25
INV_000532,PROD_109,FAC_18,54,20,33
INV_000533,PROD_050,FAC_17,54,16,29
INV_000534,PROD_150,FAC_01,42,20,31
INV_000535,PROD_075,FAC_13,35,23,33
INV_000536,PROD_046,FAC_03,40,24,35
INV_000537,PROD_030,FAC_18,40,15,23
INV_000538,PROD_075,FAC_25,34,24,33
INV_000539,PROD_028,FAC_18,34,20,34
INV_000540,PROD_067,FAC_22,48,19,25
INV_000541,PROD_132,FAC_13,58,20,33
INV_000542,PROD_083,FAC_13,57,24,30
INV_000543,PROD_113,FAC_16,56,13,24
INV_000544,PROD_112,FAC_10,33,12,23
INV_000545,PROD_057,FAC_25,36,12,17
INV_000546,PROD_101,FAC_04,43,23,36
INV_000547,PROD_008,FAC_23,38,12,23
INV_000548,PROD_024,FAC_18,32,24,32
INV_000549,PROD_137,FAC_23,35,13,24
INV_000550,PROD_039,FAC_17,46,21,35
INV_000551,PROD_131,FAC_08,53,10,20
INV_000552,PROD_103,FAC_01,55,21,32
INV_000553,PROD_097,FAC_14,38,15,26
INV_000554,PROD_109,FAC_23,48,20,27
INV_000555,PROD_068,FAC_15,49,20,26
INV_000556,PROD_001,FAC_04,48,21,33
INV_000557,PROD_076,FAC_12,51,10,19
INV_000558,PROD_098,FAC_07,56,23,36
INV_000559,PROD_067,FAC_19,53,19,33
INV_000560,PROD_068,FAC_06,51,22,32
INV_000561,PROD_034,FAC_24,41,22,35
INV_000562,PROD_043,FAC_01,46,21,28
INV_000563,PROD_084,FAC_12,43,23,37
INV_000564,PROD_119,FAC_05,49,19,32
INV_000565,PROD_029,FAC_18,37,15,21
INV_000566,PROD_046,FAC_07,39,10,16
INV_000567,PROD_001,FAC_12,41,14,26
INV_000568,PROD_042,FAC_04,34,20,30
INV_000569,PROD_079,FAC_17,43,17,22
INV_000570,PROD_105,FAC_24,41,20,28
INV_000571,PROD_084,FAC_15,40,15,22
INV_000572,PROD_049,FAC_13,32,21,26
INV_000573,PROD_018,FAC_22,47,13,20
INV_000574,PROD_022,FAC_21,57,22,31
INV_000575,PROD_139,FAC_01,48,12,19
INV_000576,PROD_035,FAC_03,51,22,28
INV_000577,PROD_068,FAC_18,43,20,27
INV_000578,PROD_051,FAC_11,46,13,24
INV_000579,PROD_077,FAC_25,59,22,33
INV_000580,PROD_123,FAC_21,31,16,29
